ID,remember,key_takeaways,address
1,I remember a description of different teams working on the project and how they can work best together.Â ,That projects have many different people coming together to work on something and there is always something you can improve,The problems between teams of people working on a project
2,I remember that TVD involves the focus on designing for a price rather than the actual structure at hand for constraints.,"Economy isnt always the deciding factor, people are stingy and selfish with funds, and longer planning and preparation can lead to cheaper projects overall.",I think TVD was created to address the problem of projects going over budget by the end.
3,saving money and cutting costs without sacrificing quality,"budget is very I'm important, it knowing how to get the most out of your money is a key skill in project management.","Maximizing the quality and boosting performance of a project with also saving money, which everyone likes."
4,I remembered that TVD is being organize to complete a project,"1. Scope managementÂ 

2. Team management

3.Cost managementÂ Â ",Scope management cause this
5,"it is a combination of cost, scope, change, and team management including stakeholder engagement","create buy-ins, how to deal with uncertainty,and dealing with conflicting stakeholders",managing pace of workÂ 
6,target value design is a method used in construction and project management to set a specific cost target early in the planning process. Rather than determining a budget based on available funds.,"people pleasing is a part of Constuction.

sometimes compromises have to be made.

Â Each project is different.","It was likely created to address challenges in the construction and design industry related to cost overruns, inefficient project delivery, and the need for a more collaborative and value-driven approach to construction projects."
7,We converted a pros vs cons list into a graph and values to compare different choices,"Delivering the most value to the customer, time constraints, and budget",Decisions that may be made with personal bias can now be drawn out and made with a visual representation of pros vs cons.
8,"Sometimes you need to cut costs in some areas, like furnishing, in order to minimize costs. If anything, you can always update the interior in the future.","Collaboration is important, as well as decision-making based on values, and sometimes it's better to cut costs when, for example, aesthetically pleasing furnishing isn't necessary.Â ",How to maximize project value and minimize costs.
9,we looked into lots of different topics and the one who stood out to me was the hospital one where we needed to look at why that location is the best,"there are always things you can do to optimize the project

there is a lot more things that go into a project then i thought

it takes a lot of risks to get projects to be efficient and save money",it is used to lower the cost without reducing the quality of final project
10,You have to use different methods depending on what part you are trying to solve.,"1. Choice by advantageÂ 

2. Effective Communication

3. How to deal with multiple stakeholders and their varying opinions",It's used to bring down the price of a project without compromising the integrity of the project.
11,Target value design helps find a way to please everybody with reasoning,"Attributes,

schedule,

Stakeholders.Â ",Created do address dealing with stakeholdersÂ 
12,"There is a stakeholder conflict on the construction of the new hospital campus in Cocoa Beach. There is also an increase in the construction cost, the owner budgeted $740/ft but the actual construction cost is $960/ft. therefore, as a project manager, it should be a meeting between to stakeholders and the owner to get to an agreement to reduce the the cost of the project. They could reevaluate the want-have and just create a good enough building that can satisfy the needs of the health campus. They could also issue a bond or get a loan from the government to get closer to the construction cost. Finally, TVD is created to afront construction conflicts and dilemmas between stakeholders and reach a target value that can satisfy everyone's needs, while complying with the budget.","How to convince owner and stakeholder to reduce construction cost

Way to reduce the cost

The design of the target value where is accounts for allowances","TVD is typically developed to tackle issues related to cost overruns, budget constraints, and inefficient project delivery. It emphasizes early collaboration between project stakeholders, such as owners, designers, and contractors, to establish a target cost for a project that aligns with the client's value expectations. Â TVD seeks to optimize project outcomes, reduce waste, and enhance the overall efficiency and value of construction projects. it is often encounter in Transportation field were you have to get on board different stakeholder with different views on the project."
13,I remember it as a game plan with more intricate parts as well as a financial aspect to all the decisions done within the team.,"Collaboration is essential in TVD

Optimizing value over the costs

Continuous improvement and early planning",Cost overruns along with scope changes. I also think it addresses the lack of collaboration within a project.
14,"Choosing by AdvantagesÂ 

dont pick expensive beacuse it doenst mean it is better

Â ","Communication

Cost AnalysisÂ 

Choose by Advantages","Communication bwtween all aspects of a project, owners to construction teams"
15,"Requires a lot of effort/convincing to implement, but offers a diverse amount of beneftis at various levels of the project (stakeholder, PM, workers)","Collaboration

Probably cost benefits

its harder to implement the bigger the project is since more individuals are involved in decision making","Compartmentalizing a variety of project phases and pointing blame from that.Â  Obviously, finances is always an issue, but I think the bigger reason TVD was created was for better accountability. By involving individual teams throughout the project, there is a more clear understanding of what the expectations are. Now that everyone is mildly involved, miscommunication or ignorance cant really be used as an excuse for poor quality or late work, as the entire project outline is a collaborative effort of every team involved."
16,TVD is about targeting important aspects of a project and identifying key cost components in order to conserve money in some parts to preserve other areas.,"Use CBA for decision making processes

Costs can be cut in specific areas, and increased in others while still saving money

Projects are like trees, altering one branch can effect dozens.Â ","One aspect it would address is the issue of groups working independently from the rest of the project. Sometimes it can save time, but when a team only focuses on their own tasks, it can create unnecessary challenges to the group."
17,"Target value design focuses on that facts and distinct advantages of options, as well as considering other forces on a project such as stakeholders. It helps you to think critically on which option would best benefit the overall project and how to utilize the people available to you.Â ","1. CBA can be a better way to compare advantages without repetition or similar attributes

2. Many of the aspects of TVD focus on the benefits and outcomes of a project and account for anyone involved with the project

3. Learning how to think critically about project advantages

Â ",TVD was created to address the conflicts between options to select the most beneficial option for the betterment of the project in a way that is unbiased or repetitive.Â 
